,sample,latitude,longitude,date,time_botto,site,location,visibility,image,fov_Limite,fov_Open,mean_relie,sd_relief,broad_Cons,broad_Macr,broad_Seag,broad_Spon,broad_Ston,broad_Unco,broad_Unkn,Total_Sum,Total_adj,Class,geometry,kndavi
0,C531,-32.76659665,115.5525567,7/04/2021,07:09:57,Mandurah,Perth,Good,Top,0.0,100.0,2.94,0.239897937482095,0.0,97.0,0.0,0.0,0.0,3.0,7.0,77.0,72.0,SAV,POINT (115.5525567 -32.76659665),0.0
1,C547,-32.76324364,115.5633417,7/04/2021,07:23:47,Mandurah,Perth,Good,Top,0.0,100.0,2.96153846153846,0.194183909345154,0.0,99.0,0.0,0.0,0.0,1.0,8.0,80.0,74.0,SAV,POINT (115.5633417 -32.76324364),0.0
2,C563,-32.76636044,115.5660562,7/04/2021,07:32:17,Mandurah,Perth,Good,Top,0.0,100.0,0.618181818181818,0.560783482708001,0.0,12.0,0.0,0.0,0.0,88.0,0.0,75.0,75.0,Sand,POINT (115.5660562 -32.76636044),0.0
3,C539,-32.76821772,115.568033,7/04/2021,07:48:52,Mandurah,Perth,Good,Top,0.0,100.0,1.12,0.328260722659316,0.0,13.0,0.0,0.0,0.0,87.0,0.0,78.0,78.0,Sand,POINT (115.568033 -32.76821772),0.0
4,C527,-32.78049273,115.5637257,7/04/2021,08:05:29,Mandurah,Perth,Good,Top,0.0,100.0,0.966666666666667,0.181020334719393,0.0,19.0,0.0,0.0,0.0,81.0,0.0,79.0,79.0,Sand,POINT (115.5637257 -32.78049273),0.0
5,C543,-32.78180705,115.5719847,7/04/2021,08:16:40,Mandurah,Perth,Good,Top,0.0,100.0,2.96666666666667,0.181020334719393,0.0,98.0,0.0,0.0,0.0,2.0,0.0,80.0,80.0,SAV,POINT (115.5719847 -32.78180705),0.0
6,C516,-32.78580484,115.5784373,7/04/2021,08:25:37,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,77.0,76.0,SAV,POINT (115.5784373 -32.78580484),0.0
7,C514,-32.78854957,115.585758,7/04/2021,08:34:52,Mandurah,Perth,Good,Top,0.0,100.0,2.96078431372549,0.196039211763921,0.0,38.0,61.0,0.0,0.0,2.0,13.0,69.0,61.0,SAV,POINT (115.585758 -32.78854957),0.0
8,C512,-32.77082479,115.5822387,7/04/2021,08:46:53,Mandurah,Perth,Good,Top,0.0,100.0,2.91666666666667,0.278717806785302,0.0,100.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,SAV,POINT (115.5822387 -32.77082479),0.0
9,C503,-32.77256581,115.587531,7/04/2021,08:54:51,Mandurah,Perth,Good,Top,0.0,100.0,1.58333333333333,0.743141902334709,0.0,0.0,61.0,0.0,0.0,39.0,7.0,79.0,74.0,Sand,POINT (115.587531 -32.77256581),0.0
10,C557,-32.77715895,115.5913896,7/04/2021,09:06:16,Mandurah,Perth,Good,Top,0.0,100.0,0.741379310344828,0.663862827396983,0.0,0.0,45.0,0.0,0.0,55.0,0.0,80.0,80.0,Sand,POINT (115.5913896 -32.77715895),0.0
11,C518,-32.77374556,115.5998587,7/04/2021,09:16:45,Mandurah,Perth,Good,Top,0.0,100.0,2.15254237288136,0.886946706054247,0.0,0.0,66.0,0.0,0.0,34.0,1.0,80.0,79.0,Sand,POINT (115.5998587 -32.77374556),0.0
12,C522,-32.78234333,115.6084667,7/04/2021,09:27:09,Mandurah,Perth,Good,Top,0.0,100.0,2.92727272727273,0.325152127048103,0.0,0.0,94.0,0.0,0.0,6.0,10.0,75.0,68.0,SAV,POINT (115.6084667 -32.78234333),0.0
13,C507,-32.79069333,115.6062517,7/04/2021,09:37:35,Mandurah,Perth,Good,Bottom,0.0,100.0,3.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,38.0,58.0,42.0,SAV,POINT (115.6062517 -32.79069333),0.0
14,C560,-32.78541033,115.6260875,7/04/2021,09:50:19,Mandurah,Perth,Good,Bottom,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,56.0,56.0,Sand,POINT (115.6260875 -32.78541033),0.0
15,C502,-32.77867667,115.6246683,7/04/2021,10:00:39,Mandurah,Perth,Good,Bottom,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,73.0,73.0,Sand,POINT (115.6246683 -32.77867667),0.0
16,C534,-32.76245833,115.6164933,7/04/2021,10:12:16,Mandurah,Perth,Good,Bottom,0.0,100.0,0.05,0.220721427863152,0.0,0.0,0.0,0.0,0.0,100.0,0.0,54.0,54.0,Sand,POINT (115.6164933 -32.76245833),0.0
17,C550,-32.76053,115.6094833,7/04/2021,10:20:44,Mandurah,Perth,Good,Bottom,0.0,100.0,3.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,10.0,68.0,62.0,SAV,POINT (115.6094833 -32.76053),0.0
18,C517,-32.75558,115.6198167,7/04/2021,10:30:59,Mandurah,Perth,Good,Bottom,0.0,100.0,0.023809523809524,0.154303349962092,0.0,0.0,0.0,0.0,0.0,100.0,0.0,63.0,63.0,Sand,POINT (115.6198167 -32.75558),0.0
19,C549,-32.750035,115.616995,7/04/2021,10:39:30,Mandurah,Perth,Good,Bottom,0.0,100.0,0.625,0.627877989127481,0.0,7.0,0.0,0.0,0.0,93.0,11.0,61.0,55.0,Sand,POINT (115.616995 -32.750035),0.0
20,C533,-32.75502833,115.6026583,7/04/2021,10:50:17,Mandurah,Perth,Good,Bottom,0.0,100.0,2.97674418604651,0.152498570332605,0.0,5.0,91.0,0.0,0.0,4.0,9.0,61.0,56.0,SAV,POINT (115.6026583 -32.75502833),0.0
21,C561,-32.75841,115.589025,7/04/2021,11:12:24,Mandurah,Perth,Good,Top,0.0,100.0,0.05,0.219784177651083,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0,80.0,Sand,POINT (115.589025 -32.75841),0.0
22,C504,-32.753605,115.5791817,7/04/2021,11:22:47,Mandurah,Perth,Good,Top,0.0,100.0,2.05,1.17061478849827,0.0,49.0,0.0,0.0,0.0,51.0,0.0,78.0,78.0,Sand,POINT (115.5791817 -32.753605),0.0
23,C555,-32.75919667,115.5720367,7/04/2021,11:32:20,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,18.0,72.0,61.0,SAV,POINT (115.5720367 -32.75919667),0.0
24,C523,-32.749195,115.5514483,7/04/2021,11:45:44,Mandurah,Perth,Good,Top,0.0,100.0,2.97872340425532,0.145864991497895,0.0,100.0,0.0,0.0,0.0,0.0,3.0,69.0,67.0,SAV,POINT (115.5514483 -32.749195),0.0
25,C562,-32.731935,115.5578683,7/04/2021,11:58:21,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,6.0,67.0,63.0,SAV,POINT (115.5578683 -32.731935),0.0
26,C508,-32.73598,115.569855,7/04/2021,12:08:48,Mandurah,Perth,Good,Top,0.0,100.0,0.886792452830189,0.506130773557531,0.0,20.0,0.0,0.0,0.0,80.0,7.0,80.0,75.0,Sand,POINT (115.569855 -32.73598),0.0
27,C551,-32.73031833,115.5731167,7/04/2021,12:17:54,Mandurah,Perth,Good,Top,0.0,100.0,2.98305084745763,0.130188910980824,0.0,99.0,0.0,0.0,0.0,1.0,1.0,75.0,74.0,SAV,POINT (115.5731167 -32.73031833),0.0
28,C519,-32.74691167,115.5835017,7/04/2021,12:30:02,Mandurah,Perth,Good,Top,0.0,100.0,0.5,0.853705780302578,0.0,12.0,0.0,0.0,0.0,88.0,0.0,80.0,80.0,Sand,POINT (115.5835017 -32.74691167),0.0
29,C541,-32.741435,115.587285,7/04/2021,12:40:02,Mandurah,Perth,Good,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0,80.0,Sand,POINT (115.587285 -32.741435),0.0
30,C525,-32.74059,115.5971217,7/04/2021,12:49:03,Mandurah,Perth,Good,Top,0.0,100.0,2.02272727272727,0.150755672288882,2.0,98.0,0.0,0.0,0.0,0.0,16.0,74.0,64.0,SAV,POINT (115.5971217 -32.74059),0.0
31,C537,-32.73974,115.603825,7/04/2021,12:58:24,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,77.0,22.0,0.0,0.0,1.0,16.0,80.0,69.0,SAV,POINT (115.603825 -32.73974),0.0
32,C521,-32.73164167,115.6113367,7/04/2021,13:08:10,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.0,71.0,58.0,SAV,POINT (115.6113367 -32.73164167),0.0
33,C536,-32.72193333,115.610715,7/04/2021,13:17:38,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.0,80.0,59.0,SAV,POINT (115.610715 -32.72193333),0.0
34,C552,-32.72100667,115.6065617,7/04/2021,13:25:40,Mandurah,Perth,Good,Top,0.0,100.0,1.85,0.879618561399953,0.0,0.0,70.0,0.0,0.0,30.0,15.0,76.0,66.0,Sand,POINT (115.6065617 -32.72100667),0.0
35,C553,-32.72549,115.59069,7/04/2021,13:36:39,Mandurah,Perth,Good,Top,0.0,100.0,0.280701754385965,0.559157081332259,0.0,1.0,0.0,0.0,0.0,99.0,0.0,79.0,79.0,Sand,POINT (115.59069 -32.72549),0.0
36,C556,-32.72013167,115.5894883,7/04/2021,13:44:49,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,28.0,72.0,0.0,0.0,0.0,25.0,71.0,57.0,SAV,POINT (115.5894883 -32.72013167),0.0
37,C513,-32.716015,115.5943133,7/04/2021,14:05:08,Mandurah,Perth,Moderate,Top,1.35135135135135,98.6486486486486,3.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,25.0,74.0,59.0,SAV,POINT (115.5943133 -32.716015),0.0
38,C515,-32.71587,115.579125,7/04/2021,14:15:41,Mandurah,Perth,Moderate,Top,0.0,100.0,2.94545454545455,0.229183883650776,0.0,95.0,0.0,0.0,0.0,5.0,11.0,71.0,64.0,SAV,POINT (115.579125 -32.71587),0.0
39,C546,-32.718225,115.56245,7/04/2021,14:26:48,Mandurah,Perth,Good,Top,0.0,100.0,2.44,0.732900305050323,0.0,3.0,79.0,0.0,0.0,18.0,3.0,74.0,72.0,Sand,POINT (115.56245 -32.718225),0.0
40,C530,-32.70577833,115.5735883,7/04/2021,14:39:01,Mandurah,Perth,Good,Top,0.0,100.0,0.64,0.749421545634514,0.0,3.0,8.0,0.0,0.0,89.0,6.0,76.0,72.0,Sand,POINT (115.5735883 -32.70577833),0.0
41,C520,-32.70640833,115.6119517,7/04/2021,14:53:24,Mandurah,Perth,Moderate,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.0,68.0,47.0,SAV,POINT (115.6119517 -32.70640833),0.0
42,C509,-32.70012667,115.6070517,7/04/2021,15:04:09,Mandurah,Perth,Good,Top,0.0,100.0,2.9,0.303045763365663,0.0,0.0,96.0,0.0,0.0,4.0,4.0,73.0,70.0,SAV,POINT (115.6070517 -32.70012667),0.0
43,C501,-32.68659667,115.59707,7/04/2021,15:14:56,Mandurah,Perth,Good,Top,0.0,100.0,2.58620689655172,0.701739261784996,0.0,16.0,68.0,0.0,0.0,17.0,3.0,79.0,77.0,Sand,POINT (115.59707 -32.68659667),0.0
44,C548,-32.67551667,115.6060967,7/04/2021,12:25:44,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,96.0,0.0,4.0,0.0,0.0,0.0,80.0,80.0,SAV,POINT (115.6060967 -32.67551667),0.0
45,C505,-32.66743,115.60697,7/04/2021,15:36:37,Mandurah,Perth,Good,Top,0.0,100.0,2.7,0.590891311810287,0.0,82.0,0.0,0.0,0.0,18.0,8.0,80.0,74.0,SAV,POINT (115.60697 -32.66743),0.0
46,C542,-32.66421833,115.5836333,7/04/2021,15:48:31,Mandurah,Perth,Good,Top,0.0,100.0,1.5,0.543983793275993,0.0,0.0,25.0,0.0,0.0,75.0,6.0,76.0,72.0,Sand,POINT (115.5836333 -32.66421833),0.0
47,C554,-32.68315167,115.5626283,7/04/2021,16:03:27,Mandurah,Perth,Moderate,Top,0.0,100.0,3.0,0.0,0.0,77.0,18.0,0.0,0.0,5.0,33.0,76.0,57.0,Sand,POINT (115.5626283 -32.68315167),0.0
48,C526,-32.68116333,115.5704267,7/04/2021,16:12:25,Mandurah,Perth,Moderate,Top,0.0,100.0,2.90909090909091,0.290803363451153,0.0,100.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,SAV,POINT (115.5704267 -32.68116333),0.0
49,C511,-32.68169167,115.5769833,7/04/2021,16:21:45,Mandurah,Perth,Good,Top,0.0,100.0,0.044444444444444,0.208409077139993,0.0,1.0,0.0,0.0,0.0,99.0,0.0,80.0,80.0,Sand,POINT (115.5769833 -32.68169167),0.0
50,C558,-32.694255,115.5826567,7/04/2021,16:32:35,Mandurah,Perth,Moderate,Top,0.0,100.0,2.95744680851064,0.204029708888579,0.0,71.0,29.0,0.0,0.0,0.0,32.0,54.0,41.0,SAV,POINT (115.5826567 -32.694255),0.0
51,C634,-32.26994,115.6663633,8/04/2021,07:29:10,Garden Island,Perth,Good,Bottom,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,98.0,0.0,58.0,58.0,Sand,POINT (115.6663633 -32.26994),0.0
52,C650,-32.25990167,115.6805067,8/04/2021,07:41:22,Garden Island,Perth,Good,Bottom,0.0,100.0,0.075,0.266746782836918,0.0,0.0,0.0,0.0,0.0,100.0,3.0,68.0,66.0,Sand,POINT (115.6805067 -32.25990167),0.0
53,C622,-32.25616167,115.6805217,8/04/2021,07:49:12,Garden Island,Perth,Moderate,Bottom,0.0,100.0,1.31914893617021,1.25293365275475,0.0,65.0,0.0,0.0,0.0,35.0,30.0,78.0,60.0,Sand,POINT (115.6805217 -32.25616167),0.0
54,C654,-32.24847167,115.6637667,8/04/2021,08:00:43,Garden Island,Perth,Moderate,Bottom,0.0,100.0,1.125,0.647975149887552,0.0,31.0,0.0,0.0,0.0,69.0,3.0,61.0,59.0,Sand,POINT (115.6637667 -32.24847167),0.0
55,C626,-32.25295667,115.651565,8/04/2021,08:10:53,Garden Island,Perth,Moderate,Bottom,0.0,100.0,0.05,0.220721427863152,0.0,0.0,0.0,0.0,0.0,100.0,0.0,62.0,62.0,Sand,POINT (115.651565 -32.25295667),0.0
56,C609,-32.24242,115.6210417,8/04/2021,09:02:27,Garden Island,Perth,Moderate,Top,0.0,100.0,1.83333333333333,0.966417230884748,0.0,71.0,0.0,0.0,0.0,29.0,6.0,70.0,66.0,Sand,POINT (115.6210417 -32.24242),0.0
57,C658,-32.23989333,115.6233717,8/04/2021,09:10:12,Garden Island,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,76.0,73.0,SAV,POINT (115.6233717 -32.23989333),0.0
58,C605,-32.23299833,115.622765,8/04/2021,09:19:21,Garden Island,Perth,Good,Top,0.0,100.0,3.01694915254237,0.130188910980824,0.0,100.0,0.0,0.0,0.0,0.0,1.0,76.0,75.0,SAV,POINT (115.622765 -32.23299833),0.0
59,C629,-32.226065,115.6134983,8/04/2021,09:29:28,Garden Island,Perth,Good,Top,0.0,100.0,2.83673469387755,0.425584831707607,0.0,98.0,0.0,0.0,0.0,2.0,8.0,65.0,60.0,SAV,POINT (115.6134983 -32.226065),0.0
60,C645,-32.22161,115.6166183,8/04/2021,09:38:47,Garden Island,Perth,Good,Top,0.0,100.0,2.45901639344262,0.992870761845053,0.0,91.0,0.0,0.0,0.0,9.0,0.0,80.0,80.0,SAV,POINT (115.6166183 -32.22161),0.0
61,C649,-32.222255,115.5972317,8/04/2021,09:51:50,Garden Island,Perth,Good,Top,2.5,97.5,1.49122807017544,1.03721479759057,0.0,42.0,3.0,0.0,0.0,56.0,6.0,76.0,72.0,Sand,POINT (115.5972317 -32.222255),0.0
62,C601,-32.217025,115.5961417,8/04/2021,10:00:52,Garden Island,Perth,Moderate,Top,0.0,100.0,1.61290322580645,1.28490401133706,14.0,14.0,0.0,3.0,0.0,69.0,1.0,79.0,78.0,Sand,POINT (115.5961417 -32.217025),0.0
63,C617,-32.20925,115.6039683,8/04/2021,10:12:54,Garden Island,Perth,Moderate,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,75.0,71.0,SAV,POINT (115.6039683 -32.20925),0.0
64,C633,-32.20878667,115.614885,8/04/2021,10:23:09,Garden Island,Perth,Moderate,Top,0.0,100.0,0.309090909090909,0.504524979109513,0.0,5.0,0.0,0.0,0.0,95.0,0.0,80.0,80.0,Sand,POINT (115.614885 -32.20878667),0.0
65,C602,-32.22411,115.6317133,8/04/2021,10:39:21,Garden Island,Perth,Good,Top,0.0,100.0,0.73469387755102,0.446071285599886,0.0,15.0,0.0,0.0,0.0,85.0,3.0,80.0,78.0,Sand,POINT (115.6317133 -32.22411),0.0
66,C606,-32.23334,115.6451417,8/04/2021,10:51:28,Garden Island,Perth,Moderate,Top,0.0,100.0,0.066666666666667,0.252262489554756,0.0,0.0,0.0,0.0,0.0,100.0,0.0,70.0,70.0,Sand,POINT (115.6451417 -32.23334),0.0
67,C618,-32.225725,115.65058,8/04/2021,11:00:52,Garden Island,Perth,Good,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,71.0,71.0,Sand,POINT (115.65058 -32.225725),0.0
68,C625,-32.228,115.6673817,8/04/2021,11:15:14,Garden Island,Perth,Moderate,Top,0.0,100.0,3.04477611940298,0.271518503242218,0.0,99.0,0.0,0.0,0.0,1.0,0.0,79.0,79.0,SAV,POINT (115.6673817 -32.228),0.0
69,C621,-32.2128,115.6680667,8/04/2021,11:28:53,Garden Island,Perth,Moderate,Top,0.0,100.0,3.046875,0.213042025811587,0.0,98.0,0.0,0.0,0.0,2.0,36.0,72.0,53.0,SAV,POINT (115.6680667 -32.2128),0.0
70,C637,-32.210055,115.66674,8/04/2021,11:36:59,Garden Island,Perth,Moderate,Top,0.0,100.0,2.17460317460317,1.15757926698114,0.0,71.0,0.0,0.0,0.0,29.0,0.0,76.0,76.0,Sand,POINT (115.66674 -32.210055),0.0
71,C639,-32.19705667,115.667405,8/04/2021,11:49:13,Garden Island,Perth,Good,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,78.0,78.0,Sand,POINT (115.667405 -32.19705667),0.0
72,C615,-32.19867667,115.6509433,8/04/2021,12:01:13,Garden Island,Perth,Good,Top,0.0,100.0,0.06,0.239897937482095,0.0,1.0,0.0,0.0,0.0,99.0,0.0,68.0,68.0,Sand,POINT (115.6509433 -32.19867667),0.0
73,C646,-32.20195667,115.64891,8/04/2021,12:09:05,Garden Island,Perth,Good,Top,0.0,100.0,0.075,0.266746782836918,0.0,2.0,0.0,0.0,0.0,98.0,0.0,80.0,80.0,Sand,POINT (115.64891 -32.20195667),0.0
74,C630,-32.21238667,115.6452967,8/04/2021,12:19:34,Garden Island,Perth,Good,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,78.0,78.0,Sand,POINT (115.6452967 -32.21238667),0.0
75,C641,-32.20385333,115.631605,8/04/2021,12:30:26,Garden Island,Perth,Good,Top,0.0,100.0,1.36,0.562791874388349,0.0,51.0,0.0,0.0,0.0,49.0,0.0,73.0,73.0,Sand,POINT (115.631605 -32.20385333),0.0
76,C659,-32.19605167,115.6352217,8/04/2021,12:41:50,Garden Island,Perth,Good,Top,0.0,100.0,0.1,0.3038218101251,0.0,3.0,0.0,0.0,0.0,97.0,0.0,76.0,76.0,Sand,POINT (115.6352217 -32.19605167),0.0
77,C608,-32.19635833,115.609915,8/04/2021,12:54:45,Garden Island,Perth,Good,Top,0.0,100.0,1.54545454545455,1.33080568493066,0.0,51.0,0.0,0.0,0.0,49.0,0.0,80.0,80.0,Sand,POINT (115.609915 -32.19635833),0.0
78,C612,-32.19737667,115.58631,8/04/2021,13:10:00,Garden Island,Perth,Good,Top,0.0,100.0,1.30769230769231,0.672672793996313,0.0,32.0,0.0,0.0,0.0,68.0,4.0,76.0,73.0,Sand,POINT (115.58631 -32.19737667),0.0
79,C648,-32.18672167,115.6051267,8/04/2021,13:25:22,Garden Island,Perth,Good,Top,0.0,100.0,2.77777777777778,0.537873754798121,0.0,96.0,0.0,0.0,0.0,4.0,4.0,80.0,77.0,SAV,POINT (115.6051267 -32.18672167),0.0
80,C652,-32.17921667,115.6141533,8/04/2021,13:35:14,Garden Island,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,23.0,75.0,61.0,SAV,POINT (115.6141533 -32.17921667),0.0
81,C623,-32.184125,115.6623767,8/04/2021,13:57:22,Garden Island,Perth,Moderate,Top,0.0,100.0,2.9622641509434,0.192380247561097,0.0,100.0,0.0,0.0,0.0,0.0,61.0,74.0,46.0,SAV,POINT (115.6623767 -32.184125),0.0
82,C632,-32.17772833,115.65577,8/04/2021,14:09:50,Garden Island,Perth,Moderate,Top,0.0,100.0,0.15,0.366347548532523,0.0,0.0,0.0,0.0,0.0,100.0,0.0,74.0,74.0,Sand,POINT (115.65577 -32.17772833),0.0
83,C627,-32.17282333,115.6408767,8/04/2021,14:20:10,Garden Island,Perth,Moderate,Top,0.0,100.0,0.557692307692308,0.607581561972936,0.0,12.0,0.0,0.0,0.0,88.0,0.0,73.0,73.0,Sand,POINT (115.6408767 -32.17282333),0.0
